smp,SMP
smpl,SMPL
smsi,SMSI
smtc,SMTC
snbr,SNBR
sncy,SNCY
sndx,SNDX
snex,SNEX
snpo,SNPO
snse,SNSE
soi,SOI
sono,SONO
sovo,SOVO
sp,SP
spfi,SPFI
spne,SPNE
spns,SPNS
spnt,SPNT
sppi,SPPI
sprb,SPRB
spro,SPRO
spsc,SPSC
spt,SPT
sptn,SPTN
spwh,SPWH
spwr,SPWR
spxc,SPXC
sqz,SQZ
sr,SR
srce,SRCE
srdx,SRDX
srg,SRG
sri,SRI
srne,SRNE
srrk,SRRK
srt,SRT
ssb,SSB
ssd,SSD
ssp,SSP
ssti,SSTI
sstk,SSTK
staa,STAA
stag,STAG
star,STAR
stba,STBA
stc,STC
stem,STEM
step,STEP
ster,STER
stgw,STGW
stim,STIM
stks,STKS
stng,STNG
stok,STOK
ston,STON
stra,STRA
strl,STRL
stro,STRO
sttk,STTK
stxs,STXS
sum,SUM
sumo,SUMO
supn,SUPN
surf,SURF
svc,SVC
swav,SWAV
swbi,SWBI
swim,SWIM
swm,SWM
swn,SWN
swtx,SWTX
swx,SWX
sxc,SXC
sxi,SXI
sxt,SXT
sybt,SYBT
syna,SYNA
syrs,SYRS
ta,TA
talo,TALO
tals,TALS
tars,TARS
tast,TAST
tbbk,TBBK
tbi,TBI
tbk,TBK
tbph,TBPH
tcbi,TCBI
tcbk,TCBK
tcbx,TCBX
tcmd,TCMD
tcrr,TCRR
tcrt,TCRT
tcs,TCS
tcx,TCX
tds,TDS
tdw,TDW
tell,TELL
ten,TEN
tenb,TENB
tern,TERN
tex,TEX
tg,TG
tgh,TGH
tgi,TGI
tgna,TGNA
tgtx,TGTX
th,TH
thc,THC
thff,THFF
thr,THR
thrm,THRM
thrx,THRX
thry,THRY
ths,THS
tig,TIG
til,TIL
tile,TILE
tipt,TIPT
tisi,TISI
titn,TITN
tk,TK
tkno,TKNO
tlis,TLIS
tls,TLS
tlys,TLYS
tmci,TMCI
tmdx,TMDX
tmhc,TMHC
tmp,TMP
tmst,TMST
tnc,TNC
tnet,TNET
tnk,TNK
tnxp,TNXP
tnya,TNYA
town,TOWN
tpb,TPB
tpc,TPC
tph,TPH
tpic,TPIC
tptx,TPTX
tr,TR
trc,TRC
trda,TRDA
tree,TREE
trhc,TRHC
trmk,TRMK
